,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Critical Cases,Total Test
0,World,1214487,+13034,65605,+917,253626,895256,44638,156,0
1,USA,311637,+280,8454,+2,14828,288355,8206,941,5006
2,Spain,130759,+4591,12418,+471,38080,80261,6861,2797,7593
3,Italy,124632,0,15362,0,20996,88274,3994,2061,10870
4,Germany,96108,+16,1446,+2,26400,68262,3936,1147,10962
5,France,89953,0,7560,0,15438,66955,6838,1378,3436
6,Iran,58226,+2483,3603,+151,19736,34887,4103,693,2214
7,UK,41903,0,4313,0,135,37455,1559,617,2698
8,Turkey,23934,0,501,0,786,22647,1311,284,1913
9,Switzerland,21100,+595,666,0,6415,14019,391,2438,17729
10,Belgium,19691,+1260,1447,+164,3751,14493,1261,1699,6040
11,Netherlands,16627,0,1651,0,250,14726,1360,970,4401
12,Canada,14018,+106,233,+2,2603,11182,426,371,8425
13,Austria,11850,+69,204,+18,2998,8648,244,1316,12038
14,Portugal,10524,0,266,0,75,10183,251,1032,7952
15,Brazil,10360,0,445,0,127,9788,296,49,258
16,S. Korea,10237,+81,183,+6,6463,3591,55,200,8996
17,Israel,8018,+167,46,+2,477,7495,127,926,10443
18,Sweden,6443,0,373,0,205,5865,520,638,3654
19,Australia,5687,+137,34,+4,2315,3338,85,223,11647
20,Norway,5645,+95,62,0,32,5551,98,1041,19528
21,Russia,5389,+658,45,+2,355,4989,8,37,4776
22,Ireland,4604,0,137,0,25,4442,148,932,6119
23,Czechia,4475,+3,62,+3,78,4335,86,418,7499
24,Chile,4161,0,27,0,528,3606,38,218,2543
25,Denmark,4077,0,161,0,1283,2633,142,704,7816
26,Romania,3864,+251,148,+2,374,3342,141,201,2008
27,Poland,3834,+207,84,+5,134,3616,50,101,1926
28,Malaysia,3662,+179,61,+4,1005,2596,99,113,1605
29,India,3588,0,99,0,229,3260,0,3,93
30,Ecuador,3465,0,172,0,100,3193,100,196,641
31,Philippines,3246,+152,152,+8,64,3030,1,30,148
32,Japan,3139,0,77,0,514,2548,64,25,339
33,Pakistan,2880,+62,45,+4,170,2665,18,13,158
34,Luxembourg,2729,0,31,0,500,2198,35,4360,36412
35,Saudi Arabia,2370,+191,29,0,420,1921,41,68,0
36,Indonesia,2273,+181,198,+7,164,1911,0,8,36
37,Thailand,2169,+102,23,+3,674,1472,23,31,351
38,Finland,1927,+45,25,0,300,1602,73,348,5234
39,Mexico,1890,+202,79,+19,633,1178,1,15,122
40,Panama,1801,0,46,0,13,1742,75,417,2145
41,Peru,1746,0,73,0,914,759,88,53,541
42,Greece,1673,0,68,0,78,1527,92,161,2153
43,Serbia,1624,0,44,0,54,1526,89,186,733
44,South Africa,1585,0,9,0,95,1481,7,27,909
45,Dominican Republic,1578,0,77,0,17,1484,147,145,419
46,UAE,1505,0,10,0,125,1370,2,152,22244
47,Argentina,1451,0,43,0,279,1129,86,32,188
48,Iceland,1417,0,4,0,396,1017,12,4152,69276
49,Colombia,1406,0,32,0,85,1289,50,28,466
50,Qatar,1325,0,3,0,109,1213,37,460,11090
