,Active Cases,Country,Critical Cases,New Cases,New Deaths,Serious Cases,Total Cases,Total Deaths,Total Recovered,Total Test
0,55,Faeroe Islands,3766,+1,0,2,184,0,129,103043
1,21,Myanmar,0.4,0,0,0,22,1,0,23
2,65484,Germany,1234,0,0,4895,103375,1810,36081,10962
3,758,Armenia,288,+20,0,30,853,8,87,1735
4,8,CAR,2,0,0,0,8,0,0,0
5,904,Moldova,239,0,+2,80,965,21,40,0
6,472,Uzbekistan,15,+47,0,8,504,2,30,0
7,28242,Turkey,358,0,0,1415,30217,649,1326,2405
8,1472,Peru,78,0,0,89,2561,92,997,619
9,3284,Denmark,859,+297,+16,144,4978,203,1491,9139
10,123,Guinea,10,0,0,0,128,0,5,0
11,629,Kazakhstan,36,+23,0,16,685,6,50,271
12,1,Timor-Leste,0.8,0,0,0,1,0,0,0
13,28,Gabon,13,+6,0,0,30,1,1,0
14,7,Malawi,0.4,+3,+1,1,8,1,0,0
15,20,Benin,2,0,0,0,26,1,5,0
16,54,Guatemala,4,+4,0,3,74,3,17,63
17,154,Georgia,49,+7,0,6,195,2,39,692
18,3445,S. Korea,202,+47,+6,55,10331,192,6694,8996
19,71849,France,1502,0,0,7072,98010,8911,17250,3436
20,1579,South Africa,28,0,0,7,1686,12,95,980
21,2302,Luxembourg,4542,0,0,33,2843,41,500,38805
22,411,Cyprus,385,0,0,11,465,9,45,9661
23,286,Uruguay,119,0,0,14,415,6,123,1550
24,6524,Sweden,714,0,0,590,7206,477,205,5416
25,230,Albania,133,+6,+1,7,383,22,131,957
26,3,British Virgin Islands,99,0,0,0,3,0,0,0
27,7,MS Zaandam,0,0,0,0,9,2,0,0
28,3520,Pakistan,18,+238,+2,28,4004,55,429,177
29,6945,Russia,51,+1154,+11,8,7497,58,494,5448
30,14,Laos,2,+2,0,0,14,0,0,105
31,336897,USA,1111,+646,+72,8983,367650,10943,19810,5841
32,1445,Colombia,31,0,0,50,1579,46,88,544
33,1250,Argentina,36,0,0,94,1628,53,325,237
34,1059,Estonia,866,+41,+2,12,1149,21,69,17750
35,4389,India,4,+130,+1,0,4908,137,382,102
36,235,Palestine,51,+6,0,0,260,1,24,2497
37,889,Slovenia,491,0,0,30,1021,30,102,13590
38,918,New Zealand,241,+54,0,14,1160,1,241,8881
39,10,Saint Kitts and Nevis,188,0,0,0,10,0,0,2801
40,336,Cuba,32,+13,0,12,363,9,18,462
41,238,Burkina Faso,17,0,0,0,364,18,108,0
42,643,Bosnia and Herzegovina,227,+70,+4,4,744,33,68,1809
43,447,Costa Rica,92,0,0,14,467,2,18,1053
44,93,Venezuela,6,0,0,6,165,7,65,63
45,12728,Canada,442,0,0,426,16667,323,3616,8767
46,1025,Singapore,235,0,0,25,1375,6,344,11110
47,230,Mauritius,192,0,0,2,244,7,7,3863
48,198,Nigeria,1,0,0,2,238,5,35,24
49,4621,Czechia,451,+6,+2,86,4828,80,127,8521
50,7,Vatican City,8739,0,0,0,7,0,0,0
51,9,Zimbabwe,0.7,0,0,0,10,1,0,21
52,2024,Serbia,252,0,0,101,2200,58,118,979
53,147,Mayotte,601,0,0,3,164,2,15,1756
54,114,Bangladesh,1.0,+41,+5,1,164,17,33,26
55,15,Syria,1,0,0,0,19,2,2,0
56,38,French Guiana,241,0,0,1,72,0,34,0
57,970,Morocco,31,+21,+3,1,1141,83,88,143
58,634,Belarus,74,0,0,11,700,13,53,4233
59,309,Réunion,390,0,0,4,349,0,40,0
60,33,Mali,2,0,0,0,47,5,9,0
61,122,Vietnam,3,0,0,8,245,0,123,969
62,3503,Philippines,34,+104,+14,1,3764,177,84,210
63,46100,UK,760,0,0,1559,51608,5373,135,3726
64,97,Martinique,402,0,0,20,151,4,50,0
65,1407,Thailand,32,+38,+1,30,2258,27,824,359
66,696,Hong Kong,125,+21,0,12,936,4,236,12900
67,4050,Chile,252,0,0,327,4815,37,728,2870
68,469,Lebanon,80,+7,0,27,548,19,60,1497
69,5,Botswana,3,0,0,0,6,1,0,411
70,8264,Israel,1040,+102,+2,153,9006,59,683,12677
71,80,Madagascar,3,0,0,6,82,0,2,0
72,590,Azerbaijan,63,0,0,11,641,7,44,4438
73,288,Malta,664,+52,0,4,293,0,5,24738
74,5,St. Barth,607,0,0,0,6,0,1,0
75,6,Eswatini,9,0,0,0,10,0,4,0
76,52,Uganda,1,0,0,0,52,0,0,69
77,15,Antigua and Barbuda,153,0,0,1,15,0,0,408
78,637,Kuwait,174,+78,0,23,743,1,105,0
79,101,Rwanda,8,0,0,0,105,0,4,0
80,217,Niger,10,0,0,0,253,10,26,169
81,12,Grenada,107,0,0,2,12,0,0,400
82,2,Papua New Guinea,0.2,0,0,0,2,0,0,8
83,23,Bahamas,84,0,0,1,33,5,5,0
84,13,Equatorial Guinea,11,0,0,0,16,0,3,609
85,2163,Saudi Arabia,79,+147,0,41,2752,38,551,0
86,37,Cayman Islands,593,0,0,0,39,1,1,5554
87,135,Sri Lanka,9,+5,+1,5,183,6,42,152
88,31,Eritrea,9,0,0,0,31,0,0,0
89,18,Tanzania,0.4,0,0,0,24,1,5,0
90,251,Ghana,9,+73,0,2,287,5,31,0
91,3,Anguilla,200,0,0,0,3,0,0,0
92,23,Saint Martin,828,0,0,6,32,2,7,0
93,13,Namibia,6,0,0,0,16,0,3,142
94,16002,Belgium,1915,+1380,+403,1260,22194,2035,4157,6040
95,31678,Iran,745,+2089,+133,3987,62589,3872,27039,2514
96,23,Haiti,2,0,0,0,24,1,0,22
97,2031,Panama,487,0,0,88,2100,55,14,2386
98,1709,Dominican Republic,169,0,0,147,1828,86,33,419
99,1407,Greece,168,0,0,90,1755,79,269,2513
100,3,Burundi,0.3,0,0,0,3,0,0,0
101,302,Oman,73,+40,0,3,371,2,67,0
102,4,Western Sahara,7,0,0,0,4,0,0,0
103,81,Djibouti,91,0,0,0,90,0,9,0
104,138,DRC,2,0,0,0,161,18,5,0
105,294,Bahrain,444,0,0,4,756,4,458,28023
106,17,Libya,3,0,0,0,19,1,1,45
107,2313,Indonesia,10,+247,+12,0,2738,221,204,48
108,6,Belize,18,0,0,1,7,1,0,674
109,1389,Ukraine,33,+143,+7,16,1462,45,28,146
110,11547,Brazil,58,+57,+2,296,12240,566,127,258
111,623,Iraq,26,0,0,0,1031,64,344,0
112,18,Guyana,39,0,+1,8,31,5,8,146
113,4,Sao Tome and Principe,18,0,0,0,4,0,0,87
114,9,Chad,0.5,0,0,0,9,0,0,0
115,178,Bolivia,17,+11,+3,3,194,14,2,51
116,10,Sudan,0.3,+2,0,0,14,2,2,0
117,978,Egypt,13,0,0,0,1322,85,259,244
118,30,Sint Maarten,863,0,0,0,37,6,1,2449
119,517,North Macedonia,274,0,0,15,570,23,30,2540
120,8,Nepal,0.3,0,0,0,9,0,1,57
121,7,Curaçao,79,0,0,0,13,1,5,0
122,3456,Ecuador,212,0,0,156,3747,191,100,739
123,501,Bulgaria,81,+16,0,26,565,22,42,2288
124,857,Lithuania,323,+37,0,11,880,15,8,10215
125,57,Gibraltar,3235,0,0,0,109,0,52,41168
126,48,Jamaica,20,0,0,0,59,3,8,182
127,569,Tunisia,50,0,0,39,596,22,5,654
128,82,Diamond Princess,0,0,0,10,712,11,619,0
129,95,Paraguay,16,+2,0,1,115,5,15,286
130,6,Sierra Leone,0.8,0,0,0,6,0,0,0
131,46,Ethiopia,0.5,+8,0,1,52,2,4,16
132,57,Cambodia,7,+1,0,1,115,0,58,345
133,17,New Caledonia,63,0,0,0,18,0,1,7478
134,6,Somalia,0.4,0,0,0,7,0,1,0
135,16686,Netherlands,1097,0,0,1409,18803,1867,250,5053
136,1242,China,57,+32,0,211,81740,3331,77167,0
137,7,Turks and Caicos,207,0,0,0,8,1,0,1576
138,8,Liberia,3,0,0,0,14,3,3,0
139,394,Afghanistan,11,+56,0,0,423,11,18,0
140,473,Andorra,6795,0,0,12,525,21,31,0
141,14,Dominica,208,0,0,0,15,0,1,4070
142,21,Liechtenstein,2020,0,0,0,77,1,55,23605
143,13064,Switzerland,2531,+250,+22,391,21907,787,8056,18776
144,132,Senegal,13,0,0,1,226,2,92,0
145,9,Suriname,17,0,0,0,10,1,0,0
146,1096,Iceland,4577,0,0,11,1562,6,460,81701
147,15,Fiji,17,+1,0,0,15,0,0,0
148,310,Taiwan,16,+3,0,0,376,5,61,1638
149,277,Honduras,31,+7,0,10,305,22,6,0
150,76,Isle of Man,1764,+11,0,6,150,1,73,19628
151,2,Falkland Islands,575,0,0,0,2,0,0,0
152,9,Mozambique,0.3,0,0,0,10,0,1,12
153,300,Channel Islands,1921,+11,0,0,334,7,27,6655
154,571,Slovakia,106,+47,0,3,581,2,8,3231
155,210,San Marino,8164,0,0,14,277,32,35,17270
156,11,Seychelles,112,0,0,0,11,0,0,0
157,236,Montenegro,381,+6,0,4,239,2,1,2742
158,1898,UAE,210,0,0,1,2076,11,167,22244
159,11913,Portugal,1220,+712,+34,271,12442,345,184,10788
160,1697,Qatar,636,0,0,37,1832,4,131,13227
161,3773,Romania,230,+360,+8,274,4417,184,460,2265
162,1,Gambia,2,0,0,0,4,1,2,0
163,52,Barbados,209,0,0,4,60,2,6,1938
164,32,Togo,7,0,0,0,58,3,23,177
165,42,French Polynesia,150,0,0,0,42,0,0,2200
166,1076,Croatia,298,0,0,36,1222,16,130,2793
167,34,Macao,68,0,0,1,44,0,10,0
168,3222,Japan,31,0,0,79,3906,92,592,365
